,code,dealerId,name,url,regionId,state,lat,long,
9196,9196,9196,AutoNation Toyota Pinellas Park,https://www.autonationtoyotapinellaspark.com,50,FL,27.84923,-82.69029,0
9198,9198,9198,Clearwater Toyota,https://www.clearwatertoyota.com,50,FL,27.970899,-82.729362,0
9199,9199,9199,Central Florida Toyota,https://www.centralfloridatoyota.com,50,FL,28.405945,-81.405172,0
9200,9200,9200,Courtesy Toyota,https://www.courtesytoyota.com,50,FL,27.95009,-82.3518,0
9202,9202,9202,Mike Erdman Toyota,https://www.mikeerdmantoyota.com,50,FL,28.360128,-80.798018,0
9204,9204,9204,Kendall Toyota,https://www.kendalltoyota.com,50,FL,25.669298,-80.32171,0
9205,9205,9205,Keith Pierson Toyota,https://www.keithpiersontoyota.com,50,FL,30.19786,-81.748999,0
9206,9206,9206,AutoNation Toyota Weston,https://www.autonationtoyotaweston.com,50,FL,26.071217,-80.360733,0
9208,9208,9208,Coggin Toyota at the Avenues,https://www.coggintoyota.com,50,FL,30.16363,-81.53774,0
9209,9209,9209,Seminole Toyota,https://www.seminoletoyota.com,50,FL,28.79435,-81.34089,0
9210,9210,9210,AutoNation Toyota Winter Park,https://www.autonationtoyotawinterpark.com,50,FL,28.598206,-81.30681,0
9212,9212,9212,Peter Boulware Toyota,https://www.peterboulwaretoyota.com,50,FL,30.460438,-84.355441,0
9214,9214,9214,Toyota of North Miami,https://www.toyotaofnorthmiami.com,50,FL,25.9266,-80.205165,0
9215,9215,9215,Miracle Toyota,https://www.miracletoyota.com,50,FL,28.13642,-81.639097,0
9216,9216,9216,West Kendall Toyota,https://www.westkendalltoyota.com,50,FL,25.638973,-80.415459,0
9217,9217,9217,Toyota of Tampa Bay,https://www.toyotaoftampabay.com,50,FL,28.0688,-82.4483,0
9218,9218,9218,Toyota of Melbourne,https://www.toyotaofmelbourne.com,50,FL,28.108047,-80.617606,0
9226,9226,9226,South Dade Toyota,https://www.southdadetoyota.com,50,FL,25.493731,-80.452559,0
9227,9227,9227,Toyota of Deerfield Beach,https://www.toyotaofdeerfieldbeach.com,50,FL,26.299023,-80.094768,0
9228,9228,9228,Treasure Coast Toyota of Stuart,https://www.treasurecoasttoyotaofstuart.com,50,FL,27.14253,-80.21185,0
9229,,,,,,,,,9229
9230,9230,9230,Gettel Toyota of Lakewood,https://www.getteltoyotaoflakewood.com,50,FL,27.494777,-82.485855,0
9231,,,,,,,,,9231
9232,9232,9232,Toyota of Clermont,https://www.toyotaofclermont.com,50,FL,28.547924,-81.6755,0
9233,9233,9233,Toyota of Fort Walton Beach,https://www.toyotafwb.com,50,FL,30.4444,-86.638,0
9234,9234,9234,Venice Toyota,https://www.venicetoyota.com,50,FL,27.088348,-82.431061,0
9236,,,,,,,,,9236
9237,,,,,,,,,9237
9239,,,,,,,,,9239
9240,9240,9240,Key West Toyota,https://www.keywesttoyota.com,50,FL,24.558635,-81.786826,0
9241,9241,9241,Southern 441 Toyota,https://www.southern441toyota.com,50,FL,26.681558,-80.195476,0
9242,9242,9242,Wesley Chapel Toyota,https://www.wesleychapeltoyota.com,50,FL,28.23415,-82.35447,0
9243,9243,9243,Sarasota Toyota,https://www.sarasotatoyota.com,50,FL,27.247314,-82.51167,0
9244,,,,,,,,,9244
9245,,,,,,,,,9245
10015,10015,10015,Milton Martin Toyota,https://www.miltonmartintoyota.com,50,GA,34.225197,-83.861868,0
10017,10017,10017,Butler Toyota,https://www.butlertoyota.com,50,GA,32.9165,-83.70941,0
10032,10032,10032,Marietta Toyota,https://www.mariettatoyota.com,50,GA,33.934257,-84.512243,0
10035,10035,10035,North Georgia Toyota,https://www.northgeorgiatoyota.com,50,GA,34.760803,-84.943038,0
10039,10039,10039,Franklin Toyota,https://www.franklintoyota.com,50,GA,32.427119,-81.755801,0
10040,10040,10040,Prince Toyota,https://www.princetoyota.com,50,GA,31.445304,-83.54581,0
10041,10041,10041,LaGrange Toyota,https://www.lagrangetoyota.com,50,GA,33.041812,-85.000543,0
10044,10044,10044,Pitts Toyota,https://www.pittstoyota.com,50,GA,32.541712,-82.9059,0
10046,10046,10046,"Riverside Toyota, Inc.",https://www.riversidetoyota.com,50,GA,34.223264,-85.149922,0
10078,10078,10078,Savannah Toyota,https://www.savannahtoyota.com,50,GA,31.979098,-81.141519,0
10087,10087,10087,Heyward Allen Toyota,https://www.heywardallentoyota.com,50,GA,33.946738,-83.43926,0
10090,10090,10090,Cobb County Toyota,https://www.cobbcountytoyota.com,50,GA,34.006677,-84.578269,0
10094,10094,10094,Atlanta Toyota,https://www.atlantatoyota.com,50,GA,33.962924,-84.139545,0
10096,10096,10096,Lowe Toyota of Warner Robins,https://www.lowetoyota.com,50,GA,32.609427,-83.678031,0
10098,10098,10098,Chatham Parkway Toyota,https://www.chathamparkwaytoyota.com,50,GA,32.06759,-81.161622,0
10099,10099,10099,Walker-Jones Toyota,https://www.walkerjonestoyota.com,50,GA,31.191932,-82.318024,0
10104,10104,10104,AutoNation Toyota Thornton Road,https://www.autonationtoyotathorntonroad.com,50,GA,33.772745,-84.605649,0
10106,10106,10106,World Toyota,https://www.worldtoyota.com,50,GA,33.90662,-84.294198,0
10107,,,,,,,,,10107
10108,10108,10108,Cherokee County Toyota,https://www.cherokeecountytoyota.com,50,GA,34.264963,-84.466517,0
10112,10112,10112,I-95 Toyota of Brunswick,https://www.i95toyota.com,50,GA,31.251277,-81.499597,0
10114,10114,10114,Toyota South Atlanta,https://www.toyotasouthatlanta.com,50,GA,33.567953,-84.343886,0
,10115,10115,Toyota of Newnan,https://www.toyotaofnewnan.com,50,GA,33.39815,-84.75574,-10115
10117,10117,10117,Valdosta Toyota,https://www.valdostatoyota.com,50,GA,30.842575,-83.332672,0
10118,10118,10118,Nalley Toyota of Roswell,https://www.toyotaofroswell.com,50,GA,34.051373,-84.336655,0
10121,10121,10121,Milton Ruben Toyota of Augusta,https://www.miltonrubentoyota.com,50,GA,33.515981,-82.074447,0
10124,10124,10124,AutoNation Toyota Mall of Georgia,https://www.autonationtoyotamallofgeorgia.com,50,GA,34.078351,-83.983961,0
10126,10126,10126,Nalley Toyota Stonecrest,https://www.stonecresttoyota.com,50,GA,33.69547,-84.10131,0
10127,10127,10127,Rivertown Toyota,https://www.rivertowntoyota.com,50,GA,32.537175,-84.969825,0
10128,,,,,,,,,10128
10129,10129,10129,Rick Hendrick Toyota Sandy Springs,https://www.rickhendricktoyotasandysprings.com,50,GA,33.931768,-84.379313,0
10130,10130,10130,Beaver Toyota of Cumming,https://www.beavertoyotacumming.com,50,GA,34.16044,-84.111205,0
10131,10131,10131,Stone Mountain Toyota,https://www.stonemountaintoyota.com,50,GA,33.8335,-84.0823,0
10132,10132,10132,Nalley Toyota Union City,https://www.toyotaofunioncity.com,50,GA,33.566644,-84.522295,0
10133,10133,10133,Hutchinson Toyota of Albany,https://www.hutchinsontoyotaofalbany.com,50,GA,31.623555,-84.216159,0
10134,10134,10134,Jim Ellis Toyota of McDonough,https://www.jimellistoyota.com,50,GA,33.42899,-84.18644,0
10135,11001,11001,Peterson Toyota,https://www.petersontoyota.net,13,ID,43.618539,-116.29573,-866
11001,,,,,,,,,11001
11009,11009,11009,Wills Toyota,https://www.willstoyota.com,13,ID,42.554452,-114.472539,0
11011,11011,11011,Stone's Town & Country Toyota,https://www.stonestoyota.com,13,ID,43.813527,-111.800737,0
11022,11022,11022,Phil Meador Toyota,https://www.philmeadortoyota.com,13,ID,42.909655,-112.451702,0
11028,11028,11028,Rogers Toyota,https://www.toyotaoflewiston.com,13,ID,46.404466,-117.000626,0
11030,11030,11030,Parker Toyota,https://www.parkertoyota.com,13,ID,47.715096,-116.793561,0
11035,11035,11035,Teton Toyota,https://www.tetontoyota.com,13,ID,43.468753,-112.076093,0
11036,11036,11036,Edmark Toyota,https://www.edmarktoyota.com,13,ID,43.604209,-116.51415,0
12013,12013,12013,Toyota On Western,https://www.toyotaonwestern.com,21,IL,41.76703,-87.68322,0
,12015,12015,Continental Toyota,https://www.continentaltoyota.com,21,IL,41.767664,-87.866713,-12015
12034,12034,12034,Elmhurst Toyota,https://www.elmhursttoyota.com,21,IL,41.91793,-87.95365,0
12042,12042,12042,Hiland Toyota,https://www.hilandtoyota.com,21,IL,41.47013,-90.460954,0
12064,12071,12071,Newbold Toyota,https://www.newboldtoyota.com,21,IL,38.58452,-89.939446,-7
12071,12074,12074,Lombard Toyota,https://www.lombardtoyota.com,21,IL,41.8594,-88.03088,-3
12077,12077,12077,Bredemann Toyota,https://www.bredemanntoyota.com,21,IL,42.03952,-87.84287,0
12082,12082,12082,Orland Toyota,https://www.orlandtoyota.com,21,IL,41.601661,-87.826163,0
12085,12085,12085,Bill Walsh Toyota,https://www.billwalshtoyota.com,21,IL,41.378657,-88.83505,0
12086,12086,12086,Schaumburg Toyota,https://www.schaumburgtoyota.com,21,IL,42.047595,-88.101661,0
12088,12088,12088,K.C. Summers Toyota,https://www.kcsummerstoyota.com,21,IL,39.482362,-88.378394,0
12090,12090,12090,Toyota of Naperville,https://www.toyotaofnaperville.com,21,IL,41.775699,-88.185019,0
12100,12100,12100,Oak Lawn Toyota,https://www.oaklawntoyota.com,21,IL,41.72051,-87.72939,0
12102,12102,12102,Arlington Toyota,https://www.toyotaarlington.com,21,IL,42.148459,-88.03091,0
12103,12103,12103,Green Toyota,https://www.greentoyota.com,21,IL,39.757097,-89.72978,0
12111,12111,12111,Crown Toyota,https://www.crowntoyotadecatur.com,21,IL,39.876323,-88.959282,0
12112,12112,12112,Mungenast Alton Toyota,https://www.altontoyota.com,21,IL,38.922019,-90.168851,0
12114,12114,12114,David Bruce Toyota,https://www.davidbrucetoyota.com,21,IL,41.162698,-87.886331,0
12118,12118,12118,Anderson Toyota,https://www.andersontoyota.com,21,IL,42.31946,-88.98382,0
12125,12125,12125,Fort's Toyota of Pekin,https://www.toyota-pekin.com,21,IL,40.624025,-89.620547,0
12126,12126,12126,Dan Hecht Chevrolet/Toyota,https://www.danhechttoyota.com,21,IL,39.098787,-88.546786,0
12133,12133,12133,Romeoville Toyota,https://www.romeovilletoyota.com,21,IL,41.599334,-88.123372,0
12134,12134,12134,Oakbrook Toyota in Westmont,https://www.oakbrooktoyota.com,21,IL,41.81083,-87.95959,0
12135,12135,12135,Pauly Toyota,https://www.paulytoyota.com,21,IL,42.21262,-88.28562,0
,12136,12136,Ken Nelson Toyota,https://www.kennelsontoyota.com,21,IL,41.857124,-89.490042,-12136
12137,12137,12137,Classic Toyota,https://www.classicdirecttoyota.com,21,IL,42.36783,-87.87921,0
12138,12138,12138,St. Charles Toyota,https://www.stcharlestoyota.net,21,IL,41.92071,-88.2813,0
12141,12141,12141,Elgin Toyota,https://www.elgintoyota.com,21,IL,42.013769,-88.217935,0
12144,12144,12144,AutoNation Toyota Libertyville,https://www.autonationtoyotalibertyville.com,21,IL,42.26538,-87.94869,0
12147,12147,12147,Shottenkirk Toyota,https://www.shottenkirktoyota.com,21,IL,39.936215,-91.330472,0
12148,12148,12148,Toyota of Danville,https://www.toyotaofdanville.com,21,IL,40.085248,-87.63591,0
12149,12149,12149,Woodrum Toyota of Macomb,https://www.woodrumtoyota.com,21,IL,40.459216,-90.62661,0
12150,12150,12150,Chicago Northside Toyota,https://www.chicagotoyota.com,21,IL,41.991831,-87.689933,0
12151,12151,12151,Toyota of DeKalb,https://www.dekalbtoyota.com,21,IL,41.946638,-88.731077,0
12153,12153,12153,Marion Toyota,https://www.mariontoyota.com,21,IL,37.74596,-88.990892,0
12155,12155,12155,Napleton's Toyota of Urbana,https://www.napletonstoyotaofurbana.com,21,IL,40.138723,-88.195398,0
12156,12156,12156,Sam Leman Toyota Bloomington,https://www.samlemantoyotabloomington.com,21,IL,40.457302,-88.97077,0
,12158,12158,Galesburg Toyota,https://www.galesburgtoyota.com,21,IL,40.980676,-90.362968,-12158
12159,12159,12159,Advantage Toyota of River Oaks,https://www.advantagetoyotariveroaks.com,21,IL,41.6013,-87.5727,0
12160,12160,12160,Toyota of Lincolnwood,https://www.toyotalincolnwood.com,21,IL,42.012862,-87.747539,0
12161,12161,12161,Toyota of Lincoln Park,https://www.ToyotaOfLincolnPark.com,21,IL,41.90999,-87.65092,0
12162,12162,12162,Monken Toyota of Mt. Vernon,https://www.monkentoyotamtvernon.com,21,IL,38.312177,-88.95556,0
12163,12163,12163,O'Brien Toyota of Peoria,https://www.obrientoyotaofpeoria.com,21,IL,40.777922,-89.632037,0
,12164,12164,Gerald Toyota of Matteson,https://www.geraldtoyota.com,21,IL,41.50462,-87.75079,-12164
12165,12165,12165,Toyota of Fox Lake,https://www.toyotaoffoxlake.com,21,IL,42.39178,-88.18192,0
12166,12166,12166,Victory Toyota of Midtown,https://www.victorytoyotamidtown.com,21,IL,41.930147,-87.746977,0
12167,12167,12167,Toyota on Edens,https://www.toyotaonedens.com,21,IL,42.124135,-87.783422,0
12168,,,,,,,,,12168
13022,13022,13022,Craig Toyota,https://www.craigtoyota.com,21,IN,38.775447,-85.392542,0
13027,13027,13027,Bob Rohrman Toyota,https://www.rohrmantoyota.com,21,IN,40.418283,-86.832726,0
13033,13033,13033,Tom Wood Toyota,https://www.tomwoodtoyota.com,21,IN,39.946533,-86.35094,0
13035,13035,13035,Evans Toyota,https://www.evanstoyota.com,21,IN,41.117427,-85.149608,0
13042,13042,13042,Kokomo Toyota,https://www.kokomo-toyota.com,21,IN,40.442369,-86.127419,0
13044,13044,13044,Heart City Toyota,https://www.heartcitytoyota.com,21,IN,41.690808,-86.004031,0
13045,13045,13045,Royal South Toyota,https://www.royalsouthtoyota.com,21,IN,39.128388,-86.530914,0
13046,13046,13046,Gates Toyota,https://www.gatestoyota.com,21,IN,41.628129,-86.257303,0
13047,13047,13047,Jeff Wyler Toyota of Clarksville,https://www.jeffwylerclarksvilletoyota.com,22,IN,38.312878,-85.760707,0
13049,13049,13049,Beck Toyota,https://www.becktoyota.com,21,IN,39.648976,-86.135786,0
13053,13053,13053,Fort Wayne Toyota,https://www.fortwaynetoyota.com,21,IN,41.075875,-85.218847,0
13054,13054,13054,Uebelhor Toyota,https://www.uebelhortoyota.com,21,IN,38.37331,-86.94575,0
13057,13057,13057,O'Brien Toyota,https://www.obrientoyota.com,21,IN,39.804473,-86.045745,0
13058,13058,13058,Ed Martin Toyota,https://www.edmartintoyota.com,21,IN,39.993489,-86.006232,0
,13060,13060,Team Toyota,https://www.teamtoyotaon41.com,21,IN,41.515643,-87.471612,-13060
13066,13066,13066,Carver Toyota of Columbus,https://www.carvertoyota.com,21,IN,39.297169,-85.95684,0
13067,13067,13067,Kenny Kent Toyota,https://www.kennykenttoyota.com,21,IN,37.977416,-87.481501,0
13068,13068,13068,Toyota of Merrillville,https://www.toyotaofmerrillville.com,21,IN,41.47188,-87.28185,0
13069,13069,13069,Toyota of Terre Haute,https://www.toyotaofterrehaute.com,21,IN,39.382416,-87.393706,0
13070,13070,13070,Andy Mohr Toyota,https://www.andymohrtoyota.com,21,IN,39.762468,-86.36185,0
13071,13071,13071,Toyota of Muncie,https://www.toyotaofmuncie.com,21,IN,40.220003,-85.462035,0
13073,13073,13073,Toyota of Warsaw,https://www.toyotawarsaw.com,21,IN,41.270501,-85.851492,0
13075,13075,13075,Jordan Toyota,https://www.jordantoyota.com,21,IN,41.673504,-86.170507,0
13076,13076,13076,Cronin Toyota of  Richmond,https://www.cronintoyotaofrichmond.com,21,IN,39.831126,-84.826102,0
13077,13077,13077,Bill Estes Toyota,https://www.billestestoyota.com,21,IN,39.924247,-86.11156,0
13078,13078,13078,Bosak Toyota of Chesterton,https://www.bosaktoyotachesterton.com,21,IN,41.6032,-87.11556,0
,14003,14003,Toyota of Iowa City,https://www.toyotaiowacity.com,23,IA,41.640851,-91.558714,-14003
14011,14011,14011,Anderson-Weber Toyota,https://www.andersonwebertoyota.com,23,IA,42.489941,-90.720175,0
14015,14015,14015,"Cedar Rapids Toyota, Inc.",https://www.cedarrapidstoyota.com,23,IA,42.045169,-91.687935,0
14017,14017,14017,Hosmer Toyota,https://www.hosmertoyota.com,23,IA,43.147012,-93.259476,0
14036,14036,14036,Deery Brothers Toyota,https://www.deerybrotherstoyota.com,23,IA,40.825112,-91.16928,0
14041,14041,14041,Dan Deery Toyota,https://www.dandeerytoyota.com,23,IA,42.513254,-92.446826,0
14044,14044,14044,Toyota of Des Moines,https://www.toyotadm.com,23,IA,41.656837,-93.776291,0
14045,14045,14045,Clemons Toyota,https://www.clemonstoyota.com,23,IA,41.062676,-92.410886,0
,14046,14046,Wilson Toyota,https://www.wilsonofamestoyota.com,23,IA,42.002193,-93.609423,-14046
14048,14048,14048,"Fort Dodge Ford, Lincoln, Toyota",https://www.fortdodgetoyota.com,23,IA,42.501032,-94.159403,0
,14049,14049,Okoboji Toyota,https://www.okobojitoyota.com,23,IA,43.422734,-95.130575,-14049
14050,14050,14050,Toyota of Muscatine,https://www.toyotaofmuscatine.com,23,IA,41.45629,-91.03105,0
14051,14051,14051,Rick Collins Toyota,https://www.rickcollinstoyota.com,23,IA,42.436847,-96.367313,0
14052,14052,14052,Smart Toyota of Quad Cities,https://www.smarttoyotaqc.com,23,IA,41.574268,-90.552525,0
14053,14053,14053,Motor Inn Toyota of Carroll,https://www.motorinntoyotaofcarroll.com,23,IA,42.07869,-94.886116,0
14054,14054,14054,Billion Toyota of Clinton,https://www.clintontoyota.com,23,IA,41.815294,-90.24429,0
14055,,,,,,,,,14055
15010,15010,15010,Lewis Toyota of Topeka,https://www.lewistoyota.com,23,KS,39.012442,-95.744336,0
15012,15012,15012,Eddy's Toyota of Wichita,https://www.eddystoyota.com,23,KS,37.678969,-97.252183,0
15021,15021,15021,Lewis Toyota of Dodge City,https://www.lewistoyotaofdodgecity.com,23,KS,37.734922,-100.019954,0
15034,15034,15034,Quality Toyota of Independence,https://www.quality-toyota.com,23,KS,37.223454,-95.73274,0
15046,15046,15046,Lewis Toyota of Hays,https://www.lewistoyotaofhays.com,23,KS,38.903116,-99.316497,0
15047,15047,15047,Hendrick Toyota Merriam,https://www.hendricktoyotamerriam.com,23,KS,39.006754,-94.695568,0
15050,15050,15050,Olathe Toyota,https://www.olathetoyota.com,23,KS,38.89074,-94.7899,0
15051,15051,15051,Crown Toyota,https://www.crowntoyotaoflawrence.com,23,KS,38.921897,-95.258287,0
15052,15052,15052,Conklin Toyota Salina,https://www.conklintoyotasalina.com,23,KS,38.78993,-97.613413,0
15053,15053,15053,Little Apple Toyota,https://www.littleappletoyota.net,23,KS,39.181434,-96.608947,0
15054,15054,15054,Midwest Toyota,https://www.midwesttoyotadealer.com,23,KS,38.087131,-97.908845,0
15056,15056,15056,Legends Toyota,https://www.legendstoyota.com,23,KS,39.129323,-94.812854,0
15057,15057,15057,Clint Bowyer Toyota,https://www.clintbowyertoyota.com,23,KS,38.408354,-96.218572,0
15059,15059,15059,Lewis Toyota of Garden City,https://www.lewistoyotaofgardencity.com,23,KS,37.9763,-100.8374,0
15060,15060,15060,Briggs Toyota of Fort Scott,https://www.briggstoyota.com,23,KS,37.818217,-94.705252,0
16004,16004,16004,Swope Toyota,https://www.swopetoyota.com,22,KY,37.715244,-85.877307,0
16005,16005,16005,Green's Toyota of Lexington,https://www.greenstoyotaoflexington.com,22,KY,38.050554,-84.456123,0
16006,16006,16006,Toyota of Louisville,https://www.toyotaoflouisville.com,22,KY,38.155594,-85.835686,0
,16017,16017,Gambrel Toyota,https://www.gambreltoyota.com,22,KY,36.964646,-84.080296,-16017
16042,16042,16042,Toyota of Bowling Green,https://www.toyotaofbowlinggreen.com,22,KY,36.954447,-86.428295,0
16044,16044,16044,Toyota of Hopkinsville,https://www.toyotaofhopkinsville.com,22,KY,36.823515,-87.474411,0
16046,16046,16046,Toyota of Murray,https://www.toyotaofmurray.com,22,KY,36.593297,-88.314623,0
16048,16048,16048,Toyota of Somerset,https://www.toyotaofsomerset.com,22,KY,37.034487,-84.627729,0
16049,16049,16049,Toyota South,https://www.toyotasouth.com,22,KY,37.759931,-84.275255,0
16050,16050,16050,Kerry Toyota,https://www.kerrytoyota.com,22,KY,39.004467,-84.655455,0
16051,16051,16051,Oxmoor Toyota,https://www.oxmoortoyota.com,22,KY,38.249817,-85.605553,0
16052,16052,16052,Marshall Dry Ridge Toyota,https://www.marshalldryridgetoyota.com,22,KY,38.68267,-84.6039,0
16055,16055,16055,Walters Toyota,https://www.walterstoyota.com,22,KY,37.5371,-82.599234,0
16056,16056,16056,Toyota on Nicholasville,https://www.toyotaonnicholasville.com,22,KY,37.917449,-84.555907,0
,16058,16058,Kerry Toyota Service Center,www.kerrytoyota.com,22,KY,39.0776,-84.5189,-16058
16059,16059,16059,Don Moore Toyota,https://www.donmooretoyota.com,22,KY,37.730889,-87.122997,0
16061,16061,16061,Frankfort Toyota,https://www.frankforttoyota.com,22,KY,38.188104,-84.818523,0
16062,16062,16062,Mann Toyota,https://www.manntoyota.com,22,KY,37.644617,-82.777283,0
16063,16063,16063,Watermark Toyota,https://www.watermarktoyota.com,22,KY,37.3523,-87.484258,0
16064,16064,16064,Coad Toyota Paducah,https://www.coadtoyotapaducah.com,22,KY,37.081955,-88.681211,0
16065,16065,16065,Toyota of Ashland,https://www.toyotaofashland.com,22,KY,38.46584,-82.615995,0
16066,,,,,,,,,16066
17014,17014,17014,Price LeBlanc Toyota,https://www.priceleblanctoyota.com,60,LA,30.375531,-91.035155,0
17017,,,,,,,,,17017
17023,17023,17023,Yokem Toyota,https://www.yokemtoyota.com,60,LA,32.419428,-93.721138,0
17027,17027,17027,Van-Trow Toyota,https://www.vantrowtoyota.com,60,LA,32.519925,-92.103619,0
17029,17029,17029,Bubba Oustalet Toyota,https://www.oustalettoyota.com,60,LA,30.22216,-92.657185,0
17041,,,,,,,,,17041
17050,17050,17050,Lakeside Toyota,https://www.lakesidetoyota.com,60,LA,30.015884,-90.154269,0
17055,17055,17055,Team Toyota,https://www.team-toyota.com,60,LA,30.442924,-91.009833,0
17057,17057,17057,John Harvey Toyota,https://www.johnharveytoyota.com,60,LA,32.563132,-93.728687,0
17058,17058,17058,Toyota of New Orleans,https://www.toyotaofneworleans.com,60,LA,30.053973,-89.947249,0
17060,17060,17060,Lake Charles Toyota,https://www.lakecharlestoyota.com,60,LA,30.18609,-93.179351,0
17061,17061,17061,Toyota of Slidell,https://www.toyotaofslidell.com,60,LA,30.23967,-89.76556,0
17062,17062,17062,Bohn Toyota,https://www.bohntoyota.com,60,LA,29.8741,-90.0851,0
17065,,,,,,,,,17065
17066,17066,17066,Northshore Toyota,https://www.northshoretoyota.com,60,LA,30.428625,-90.079251,0
17067,17067,17067,Ray Brandt Toyota,https://www.raybrandttoyota.com,60,LA,30.007144,-90.233551,0
17068,17068,17068,All Star Toyota of Baton Rouge,https://www.allstartoyotaofbatonrouge.com,60,LA,30.441726,-91.088344,0
,17069,17069,Courtesy Toyota,https://www.courtesytoyotaofmorgancity.com,60,LA,29.703244,-91.199813,-17069
17070,17070,17070,Greg Leblanc Toyota,https://www.gregleblanctoyota.com,60,LA,29.60449,-90.751058,0
17071,17071,17071,Supreme Toyota of Hammond,https://www.supremetoyota.com,60,LA,30.48654,-90.482167,0
17073,17073,17073,Hixson Toyota,https://www.hixsontoyota.com,60,LA,31.08775,-93.270504,0
17074,17074,17074,Toyota of Bastrop,https://www.toyotaofbastrop.com,60,LA,32.775869,-91.881467,0
17075,17075,17075,Walker Toyota,https://www.walker-toyota.com,60,LA,31.294613,-92.50514,0
17076,17076,17076,Karl Malone Toyota of Ruston,https://www.malonetoyotaofruston.com,60,LA,32.541166,-92.626038,0
17077,,,,,,,,,17077
18010,18010,18010,Down East Toyota,https://www.downeasttoyota.com,17,ME,44.777185,-68.73465,0
18023,18023,18023,Shepard Toyota,https://www.shepardtoyota.com,17,ME,44.093668,-69.139592,0
18031,18031,18031,York Toyota,https://www.yorkstoyota.com,17,ME,46.146959,-67.840005,0
18032,18032,18032,Central Maine Toyota,https://www.cmtoy.com,17,ME,44.542987,-69.674602,0
18033,18033,18033,Charlie's Toyota,https://www.charliestoyota.com,17,ME,44.319908,-69.821521,0
18034,18034,18034,Emerson Toyota,https://www.emersontoyota.com,17,ME,44.135896,-70.226271,0
18035,18035,18035,Lee Toyota,https://www.leetoyota.com,17,ME,43.9377,-69.9659,0
,18036,18036,Prime Toyota,https://www.primetoyotasaco.com,17,ME,43.5301,-70.4255,-18036
18037,18037,18037,Berlin City Toyota of Portland,https://www.berlincitytoyotame.com,17,ME,43.683,-70.3259,0
18038,,,,,,,,,18038
19005,19005,19005,Jones Toyota,https://www.jonesjunction-toyota.com,80,MD,39.505013,-76.382334,0
19021,19021,19021,Bill Kidd's Timonium Toyota,https://www.billkiddstoyota.com,80,MD,39.473775,-76.640276,0
19026,19026,19026,Koons Toyota,https://www.koonstoyotaannapolis.com,80,MD,38.976826,-76.511289,0
19028,19028,19028,Younger Toyota,https://www.youngertoyota.com,80,MD,39.603374,-77.685696,0
19037,19037,19037,Jerry's Toyota,https://www.jerrystoyota.com,80,MD,39.375117,-76.507283,0
19042,19042,19042,Brown's Toyota of Glen Burnie,https://www.brownstoyota.com,80,MD,39.17576,-76.616614,0
19043,19043,19043,DARCARS Toyota,https://www.darcarstoyota.com,80,MD,39.061269,-76.958568,0
19044,19044,19044,Antwerpen's Toyota,https://www.antwerpentoyota.com,80,MD,39.209586,-76.94244,0
19045,19045,19045,Jim Coleman Toyota,https://www.jimcolemantoyota.com,80,MD,39.0278,-77.145883,0
19047,19047,19047,Koons Westminster Toyota,https://www.koonstoyotawestminster.com,80,MD,39.572739,-76.984183,0
,19050,19050,Thompson Toyota,https://www.thompsontoyota.com,80,MD,39.433442,-76.330494,-19050
19052,19052,19052,Fitzgeralds Toyota Gaithersburg,https://www.fitzgeraldtoyotagaithersburg.com,80,MD,39.157317,-77.216917,0
19056,19056,19056,Bayside Toyota,https://www.baysidetoyota.com,80,MD,38.562374,-76.600171,0
19057,19057,19057,355 Toyota,https://www.355toyota.com,80,MD,39.112833,-77.161917,0
19059,19059,19059,Toyota of Southern Maryland,https://www.toyotasmd.com,80,MD,38.285355,-76.474615,0
19061,19061,19061,Pohanka Toyota of Salisbury,https://www.pohankatoyotamd.com,80,MD,38.391119,-75.576496,0
19062,19062,19062,Toyota of Bowie,https://www.toyotaofbowie.com,80,MD,38.95171667,-76.71498333,0
19063,19063,19063,DARCARS Toyota of Frederick,https://www.darcarstoyotaoffrederick.com,80,MD,39.376847,-77.408936,0
,19064,19064,Toyota Certified at Capital Plaza,https://www.toyotacapitalplaza.com,80,MD,38.939801,-76.911437,-19064
,19066,19066,DARCARS Toyota of Frederick Service Center,http://darcarsfrederick.xigroupauto.com,80,MD,39.416312,-77.441136,-19066
19068,19068,19068,Koons Easton Toyota,https://www.koonstoyotaeaston.com,80,MD,38.733104,-76.069144,0
19069,19069,19069,DARCARS Toyota of Baltimore,https://www.darcarstoyotaofbaltimore.com,80,MD,39.28699,-76.54349,0
19070,19070,19070,Passport Toyota,https://www.passporttoyota.com,80,MD,38.825812,-76.922979,0
19071,19071,19071,Heritage Toyota Catonsville,https://www.heritagetoyotacatonsville.com,80,MD,39.284568,-76.754916,0
19072,19072,19072,Heritage Toyota Owings Mills,https://www.heritagetoyotaowingsmills.com,80,MD,39.40789,-76.76305,0
19074,19074,19074,Waldorf Toyota,https://www.waldorftoyota.com,80,MD,38.638048,-76.898171,0
,19075,19075,Hertrich Toyota of Pocomoke,https://www.hertrichtoyotapocomoke.com,80,MD,38.044029,-75.543184,-19075
19076,19076,19076,Sheehy Toyota of Laurel,https://www.sheehytoyotalaurel.com,80,MD,39.128421,-76.822635,0
19077,,,,,,,,,19077
20006,20006,20006,Jaffarian Volvo Toyota,https://www.jaffarian-toyota.com,17,MA,42.765439,-71.105303,0
