,code,dealerId,name,url,regionId,state,lat,long,
4359,4359,4359,Moss Bros. Toyota,https://www.mossbrostoyotamorenovalley.com,11,CA,33.936418,-117.177692,0
,4361,4361,Gilroy Toyota,https://www.gilroytoyota.com,12,CA,36.99926,-121.559408,-4361
4362,4362,4362,Dublin Toyota,https://www.dublintoyota.com,12,CA,37.702703,-121.880409,0
4364,4364,4364,Maita's Toyota of Sacramento,https://www.maitatoyota.com,12,CA,38.629117,-121.403195,0
4374,4374,4374,Antioch Toyota,https://www.antiochtoyota.com,12,CA,38.00825,-121.8319,0
4386,,,,,,,,,4386
4388,4388,4388,Toyota of Riverside,https://www.toyotaofriverside.com,11,CA,33.930282,-117.410872,0
4389,4389,4389,Hanlees Toyota,https://www.hanleesdavistoyota.com,12,CA,38.551033,-121.699937,0
4412,4412,4412,Toyota 101,https://www.toyota101.com,12,CA,37.496167,-122.230583,0
,4421,4421,Roseville Toyota,https://www.rosevilletoyota.com,12,CA,38.751146,-121.25851,-4421
4426,4426,4426,Capitol Toyota,https://www.capitoltoyota.com,12,CA,37.276117,-121.870433,0
4454,4454,4454,Magnussen's Toyota of Palo Alto,https://www.toyotapaloalto.com,12,CA,37.415367,-122.102617,0
4456,4456,4456,Toyota of El Cajon,https://www.toyotaofelcajon.com,11,CA,32.80323,-116.974804,0
4487,4487,4487,Ammaar's Toyota Vacaville,https://www.vacavilletoyota.com,12,CA,38.3733,-121.950717,0
4508,4508,4508,Manhattan Beach Toyota,https://www.manhattanbeachtoyota.com,11,CA,33.889706,-118.395578,0
4536,4536,4536,Norm Reeves Toyota San Diego,https://www.normreevestoyotasandiego.com,11,CA,32.78242,-117.100757,0
,4541,4541,Merced Toyota,https://www.mercedtoyota.com,12,CA,37.306201,-120.505082,-4541
4543,4543,4543,Tustin Toyota,https://www.tustintoyota.com,11,CA,33.726358,-117.800865,0
,4554,4554,John Elway's Crown Toyota,https://www.crowntoyota.com,11,CA,34.052119,-117.546812,-4554
4563,4563,4563,Toyota Marin,https://www.toyotamarin.com,12,CA,37.968017,-122.51845,0
4576,4576,4576,Kearny Mesa Toyota,https://www.kearnymesatoyota.com,11,CA,32.826166,-117.145374,0
4583,4583,4583,Mid City Toyota,https://www.mid-citytoyota.com,12,CA,40.808189,-124.115599,0
4636,4636,4636,AutoNation Toyota Cerritos,https://www.autonationtoyotacerritos.com,11,CA,33.861891,-118.099421,0
4638,4638,4638,AutoNation Toyota Irvine,https://www.autonationtoyotairvine.com,11,CA,33.640481,-117.736842,0
4640,4640,4640,AutoNation Toyota Buena Park,https://www.autonationtoyotabuenapark.com,11,CA,33.866837,-117.997129,0
4649,4649,4649,Toyota of Glendale,https://www.toyotaofglendale.com,11,CA,34.130207,-118.254733,0
,4660,4660,Toyota of Berkeley Certified Service Center,https://www.toyotaofberkeleyservicecenter.com,12,CA,37.885769,-122.307497,-4660
4676,4676,4676,Freeway Toyota of Hanford,https://www.freewaytoyota.com,12,CA,36.319946,-119.675953,0
4682,4682,4682,Auburn Toyota,https://www.auburntoyota.com,12,CA,38.91795,-121.081532,0
4688,4688,4688,One Toyota of Oakland,https://www.onetoyota.com,12,CA,37.740045,-122.199774,0
4713,4713,4713,Santa Margarita Toyota,https://www.santamargaritatoyota.com,11,CA,33.632709,-117.606751,0
4726,4726,4726,West Coast Toyota of Long Beach,https://www.westcoasttoyotalb.com,11,CA,33.804587,-118.152444,0
4734,4734,4734,Toyota of Lompoc,https://www.toyotaoflompoc.com,11,CA,34.639415,-120.455984,0
4737,4737,4737,Toyota of Lancaster,https://www.toyotaoflancasterav.com,11,CA,34.670263,-118.152551,0
4739,4739,4739,Toyota of Downtown LA,https://www.toyotaofdowntownla.com,11,CA,34.033649,-118.272743,0
4748,4748,4748,DCH Toyota of Torrance,https://www.torrancetoyota.com,11,CA,33.795652,-118.337747,0
,4753,4753,Livermore Toyota,https://www.livermoretoyota.com,12,CA,37.712082,-121.722054,-4753
4772,4772,4772,Culver City Toyota,https://www.culvercitytoyota.com,11,CA,34.025498,-118.39131,0
4774,4774,4774,Lodi Toyota,https://www.loditoyota.com,12,CA,38.121242,-121.256234,0
4786,4786,4786,Mojave Toyota of Barstow,https://www.mojavetoyotaofbarstow.com,11,CA,34.898162,-117.03406,0
4819,4819,4819,Temecula Valley Toyota,https://www.tvtoyota.com,11,CA,33.515729,-117.156196,0
,4915,4915,Larry H. Miller Toyota Corona,https://www.lhmtoyotacorona.com,11,CA,33.878384,-117.599106,-4915
4990,4990,4990,DCH Toyota of Oxnard,https://www.toyotaofoxnard.com,11,CA,34.228452,-119.153011,0
5011,5011,5011,Groove Toyota,https://www.groovetoyota.com,15,CO,39.618187,-104.987643,0
,5026,5026,Stevinson Toyota East,https://www.stevinsontoyotaeast.com,15,CO,39.7084,-104.865,-5026
,5030,5030,"Pedersen Toyota, Ltd.",https://www.pedersentoyota.com,15,CO,40.525592,-105.077488,-5030
,5034,5034,Stevinson Toyota West,https://www.stevinsontoyotawest.com,15,CO,39.7285,-105.1641,-5034
5043,5043,5043,"Stapp Interstate Toyota, Inc.",https://www.interstatetoyota.com,15,CO,40.117725,-104.97839,0
5046,5046,5046,Bighorn Toyota,https://www.bighorntoyota.com,15,CO,39.562797,-107.368132,0
5049,5049,5049,"Turner Toyota, Inc.",https://www.turnertoyota.com,15,CO,38.488056,-107.852535,0
5051,5051,5051,Pueblo Toyota,https://www.pueblotoyota.com,15,CO,38.310205,-104.639427,0
,5054,5054,Larry H. Miller Toyota Boulder,https://www.bouldertoyota.com,15,CO,40.023133,-105.241702,-5054
5055,5055,5055,Western Slope Toyota,https://www.westernslopetoyota.com,15,CO,39.105268,-108.63413,0
5057,5057,5057,"Hellman Toyota, Inc.",https://www.hellmantoyota.com,15,CO,38.748901,-108.062082,0
,5059,5059,Larry H. Miller Liberty Toyota Scion Colorado Springs,https://www.libertytoyotacoloradosprings.com,15,CO,38.938522,-104.731042,-5059
5063,5063,5063,AutoNation Toyota Arapahoe,https://www.autonationtoyotaarapahoe.com,15,CO,39.5959,-104.8655,0
,5064,5064,Ehrlich Toyota,https://www.ehrlichtoyota.com,15,CO,40.395089,-104.757691,-5064
,5066,5066,Larry H. Miller Toyota Colorado Springs,https://www.toyotaofcoloradosprings.com,15,CO,38.81366,-104.826286,-5066
5067,5067,5067,Mountain States Toyota,https://www.mountainstatestoyota.com,15,CO,39.8243,-104.9906,0
,5068,5068,Ehrlich Toyota East,https://www.ehrlichtoyotaeast.com,15,CO,40.261395,-103.802768,-5068
5069,5069,5069,Phil Long Toyota,https://www.phillongtoyota.com,15,CO,37.171434,-104.5063,0
5070,5070,5070,Durango Toyota,https://www.durangotoyota.com,15,CO,37.230452,-107.861592,0
5071,,,,,,,,,5071
5072,,,,,,,,,5072
5073,,,,,,,,,5073
5074,,,,,,,,,5074
5075,,,,,,,,,5075
5076,,,,,,,,,5076
5077,,,,,,,,,5077
6002,6002,6002,A-1 Toyota,https://www.a1toyota.com,16,CT,41.335911,-72.978339,0
6015,6015,6015,Girard Toyota-BMW,https://www.girardtoyota.com,16,CT,41.36469,-72.115931,0
6022,6022,6022,Stephen Toyota,https://www.stephentoyota.com,16,CT,41.696487,-72.907324,0
6025,6025,6025,Lynch Toyota,https://www.lynchtoyota.com,16,CT,41.811798,-72.514958,0
6026,6026,6026,"Gale Toyota, Inc.",https://www.galetoyota.com,16,CT,41.994767,-72.573431,0
6029,6029,6029,Toyota of Greenwich,https://www.toyotaofgreenwich.com,16,CT,41.036442,-73.60276,0
6032,6032,6032,Greentree Toyota,https://www.greentreetoyota.com,16,CT,41.424973,-73.419459,0
6036,6036,6036,Middletown Toyota,https://www.middletowntoyota.com,16,CT,41.576516,-72.671736,0
6037,6037,6037,Charles Toyota,https://www.charlestoyota.com,16,CT,41.503778,-72.091477,0
6040,6040,6040,Colonial Toyota,https://www.colonialtoyotact.com,16,CT,41.228373,-73.069176,0
6042,6042,6042,Hoffman Toyota,https://www.hoffmantoyota.com,16,CT,41.81845,-72.868437,0
6043,6043,6043,Westbrook Toyota,https://www.westbrooktoyota.com,16,CT,41.29035,-72.442205,0
6045,6045,6045,Torrington Toyota,https://www.torringtontoyota.com,16,CT,41.818698,-73.08815,0
6046,6046,6046,Dowling Toyota of Litchfield,https://www.dowlingtoyota.com,16,CT,41.736171,-73.215514,0
6047,6047,6047,WOW Toyota of Wallingford,https://www.wow-toyota.com,16,CT,41.479633,-72.811467,0
6049,6049,6049,Toyota of Colchester,https://www.toyotaofcolchester.com,16,CT,41.579941,-72.341886,0
6050,6050,6050,Hartford Toyota,https://www.hartfordtoyota.com,16,CT,41.789824,-72.657709,0
6051,6051,6051,New Country Toyota of Westport,https://www.newcountrywestporttoyota.com,16,CT,41.138034,-73.339284,0
6052,6052,6052,Toyota of Stamford,https://www.toyotaofstamford.com,16,CT,41.055215,-73.523747,0
6053,6053,6053,Curry Toyota,https://www.currytoyotact.com,16,CT,41.56905,-73.098733,0
7005,7005,7005,C F Schwartz Toyota,https://www.cfschwartztoyota.com,80,DE,39.1943,-75.548401,0
7008,7008,7008,Price Toyota,https://www.pricetoyota.com,80,DE,39.674367,-75.595383,0
7009,7009,7009,Newark Toyotaworld,https://www.newarktoyotaworld.com,80,DE,39.687501,-75.745175,0
7012,7012,7012,Hertrich Toyota,https://www.hertrichtoyota.com,80,DE,38.957724,-75.430122,0
9043,9043,9043,Doral Toyota,https://www.doraltoyota.com,50,FL,25.783627,-80.354518,0
9061,,,,,,,,,9061
